,tconst,ordering,nconst,category,job,characters
527752,tt0063035,1,nm0000078,actor,\N,"[""Col. Mike Kirby""]"
527753,tt0063035,2,nm0418148,actor,\N,"[""George Beckworth""]"
527754,tt0063035,3,nm0001380,actor,\N,"[""Sgt. Petersen""]"
527755,tt0063035,4,nm0712731,actor,\N,"[""Sgt. Muldoon""]"
527762,tt0063036,1,nm0912005,actor,\N,"[""Paul Shaw""]"
527763,tt0063036,2,nm0000134,actor,\N,"[""Jon Rubin""]"
527764,tt0063036,3,nm0334057,actor,\N,"[""Lloyd Clay""]"
527765,tt0063036,4,nm1713518,actor,\N,"[""Pop Artist""]"
527870,tt0063047,10,nm0005212,actor,\N,"[""Simon Bliss""]"
527871,tt0063047,1,nm0424743,actress,\N,"[""Judith Bliss""]"
527872,tt0063047,2,nm0581457,actress,\N,"[""Sorel Bliss""]"
527873,tt0063047,3,nm0001972,actor,\N,"[""Sandy Tyrell""]"
527874,tt0063047,4,nm0696866,actor,\N,"[""David Bliss""]"
527879,tt0063047,9,nm0336509,actor,\N,"[""Richard Greatham""]"
527888,tt0063049,1,nm0868074,actor,\N,"[""Peter""]"
527889,tt0063049,2,nm0427888,actor,\N,"[""Davy""]"
527890,tt0063049,3,nm0004880,actor,\N,"[""Micky""]"
527891,tt0063049,4,nm0626452,actor,\N,"[""Mike""]"
527897,tt0063050,1,nm0000273,actor,\N,"[""Singer""]"
527898,tt0063050,2,nm0516800,actress,\N,"[""Mick""]"
527899,tt0063050,3,nm0564841,actor,\N,"[""Antonapoulos""]"
527900,tt0063050,4,nm0540992,actor,\N,"[""Spirmonedes""]"
527995,tt0063060,1,nm0000078,actor,\N,"[""Chance Buckman""]"
527996,tt0063060,2,nm0001684,actress,\N,"[""Tish Buckman""]"
527997,tt0063060,3,nm0001380,actor,\N,"[""Greg Parker""]"
527998,tt0063060,4,nm0587256,actress,\N,"[""Madelyn Buckman""]"
528061,tt0063067,1,nm0001792,actor,\N,"[""Scobie Malone""]"
528062,tt0063067,2,nm0001626,actor,\N,"[""Sir James Quentin""]"
528063,tt0063067,3,nm0658339,actress,\N,"[""Sheila Quentin""]"
528064,tt0063067,4,nm0817122,actress,\N,"[""Lisa Pretorius""]"
528430,tt0063115,1,nm0000634,actor,\N,"[""Harold""]"
528431,tt0063115,2,nm0886888,actress,\N,"[""Mother""]"
528432,tt0063115,3,nm0853375,actress,\N,"[""Nancy""]"
528433,tt0063115,4,nm0887696,actress,\N,"[""Joyce""]"
528548,tt0063127,1,nm0000080,actor,\N,"[""Mr. Charles Clay""]"
528549,tt0063127,2,nm0603402,actress,\N,"[""Virginie Ducrot""]"
528550,tt0063127,3,nm0169051,actor,\N,"[""Elishama Levinsky""]"
528551,tt0063127,4,nm0260596,actor,\N,"[""Paul, the sailor""]"
528627,tt0063135,1,nm0000273,actor,\N,"[""Insp. Jacques Clouseau""]"
528628,tt0063135,2,nm0277975,actor,\N,"[""Supt. Weaver""]"
528629,tt0063135,3,nm0090521,actress,\N,"[""Lisa Morrel""]"
528630,tt0063135,4,nm0287687,actor,\N,"[""Addison Steele""]"
528682,tt0063141,1,nm0000603,actress,\N,"[""Isadora""]"
528683,tt0063141,2,nm0289038,actor,\N,"[""Craig""]"
528684,tt0063141,3,nm0001673,actor,\N,"[""Singer""]"
528685,tt0063141,4,nm0292159,actor,\N,"[""Roger""]"
528983,tt0063174,1,nm0002131,actor,\N,"[""Cethegus""]"
528984,tt0063174,2,nm0000080,actor,\N,"[""Emperor Justinian""]"
528985,tt0063174,3,nm0466977,actress,\N,"[""Empress Theodora""]"
528986,tt0063174,4,nm0000303,actress,\N,"[""Amalaswintha""]"
529386,tt0063219,1,nm0001571,actress,\N,"[""Lylah Clare"",""Elsa Brinkmann"",""Elsa Campbell""]"
